,Guest,Assigned Table,Together1,Together2,Together3,Apart1,Apart2,Apart3
0,Ms.Jitakatefuari ,1,,,,,,
1,Ms.Apolonia Kucharska,1,,,,,,
2,Mr.Eduardo Santos,1,,,,,,
3,Mr.Meikuaritakufu ,1,,,,,,
4,Ms.Orzsebet Lendvai,1,,,,Mr.Shamsuddi Desheriyev,,
5,Mr.Shikimirikashite ,1,,,,,,
6,Mr.Loren Pullman,1,,,,,,
7,Spare-1,1,,,,,,
8,Ms.Annikki Pietikäinen,2,Ms.Line Kristiansen,,,,,
9,Ms.Line Kristiansen,2,,,,,,
10,Mr.Koppány Baranyi,2,,,,,,
11,Ms.Johanna Wechsler,2,Mr.Kristof Kuntz,Ms.Živana Breceljnik,,,,
12,Mr.Kristof Kuntz,2,,,,,,
13,Ms.Živana Breceljnik,2,,,,,,
14,Mr.Þorgrímur Búason,2,,,,,,
15,Ms.Miranda Zaragamba,2,,,,Mr.Bao Chin,,
16,Mr.Teppo Lydman,3,,,,,,
17,Ms.Adabella Quezada,3,,,,,,
18,Mrs.Jonna Parras,3,,,,,,
19,Mr.Uzor Pál,3,,,,,,
20,Mrs.Sarah Mortensen,3,,,,,,
21,Mrs.Huan Yue Shen,3,,,,,,
22,Mr.Cicerón Ozuna,3,,,,,,
23,Spare-2,3,,,,,,
24,Ms.Yukiko Koyama,4,,,,,,
25,Mr.Bao Chin,4,,,,Ms.Miranda Zaragamba,,
26,Mrs.Bikatu Bataev,4,,,,,,
27,Ms.Lundy Moquin,4,,,,,,
28,Mr.Jonathan Jessen,4,,,,,,
29,Mr.Joao Ribeiro,4,,,,,,
30,Mr.Géza Kovács,4,,,,,,
31,Mr.Shamsuddi Desheriyev,4,,,,Ms.Orzsebet Lendvai,,
